student_id,passed
1,0
2,0
3,1
4,1
5,1
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,1
43,1
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,1
60,1
61,0
62,0
63,0
64,1
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,1
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,0
93,0
94,1
95,0
96,0
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,0
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,1
122,1
123,1
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,0
144,1
145,1
146,0
147,1
148,1
149,1
150,0
151,0
152,1
153,0
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,0
162,1
163,1
164,0
165,1
166,1
167,0
168,1
169,0
170,1
171,1
172,1
173,1
174,1
175,0
176,0
177,1
178,0
179,1
180,0
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,0
206,0
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,1
226,1
227,0
228,0
229,1
230,0
231,0
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,0
240,1
241,1
242,0
243,1
244,0
245,0
246,1
247,1
248,0
249,0
250,1
251,0
252,0
253,1
254,0
255,1
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,1
264,1
265,0
266,0
267,1
268,0
269,0
270,1
271,0
272,1
273,0
274,0
275,1
276,0
277,1
278,1
279,0
280,1
281,1
282,0
283,1
284,0
285,0
286,0
287,1
288,1
289,0
290,0
291,1
292,1
293,0
294,1
295,0
296,0
297,1
298,1
299,0
300,1
301,1
302,0
303,0
304,0
305,1
306,1
307,0
308,0
309,1
310,0
311,1
312,0
313,1
314,1
315,0
316,0
317,1
318,1
319,0
320,0
321,0
322,1
323,1
324,1
325,0
326,1
327,0
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,0
337,1
338,1
339,1
340,0
341,0
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,1
351,0
352,0
353,1
354,1
355,1
356,1
357,1
358,1
359,0
360,0
361,0
362,0
363,1
364,1
365,1
366,0
367,1
368,0
369,1
370,1
371,1
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,1
383,1
384,1
385,1
386,1
387,0
388,0
389,1
390,1
391,0
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
